GID_0,fueltype,CO2,CH4,N2O,units are tCO2e/ton (and tCO2e/MWh for electricity),,,,,,,
GTM,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
GTM,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
GTM,Electricity,0.467501660,0.023096743,0.001753458,,,,,,,,
GTM,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
GTM,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
GTM,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
GTM,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
GTM,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
GTM,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
HND,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
HND,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
HND,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
HND,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
HND,Electricity,0.484575648,0.020552154,0.001291749,,,,,,,,
HND,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
HND,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
HND,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
HND,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
HND,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
HND,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
HTI,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
HTI,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
HTI,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
HTI,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
HTI,Electricity,1.224269475,0.032019612,0.001987945,,,,,,,,
HTI,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
HTI,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
HTI,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
HTI,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
HTI,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
HTI,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
IDN,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
IDN,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
IDN,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
IDN,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
IDN,Electricity,0.737910986,0.056264070,0.004163587,,,,,,,,
IDN,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
IDN,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
IDN,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
IDN,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
IDN,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
IDN,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
IND,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
IND,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
IND,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
IND,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
IND,Electricity,0.725169479,0.061449159,0.004908307,,,,,,,,
IND,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
IND,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
IND,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
IND,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
IND,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
