Key*,LULC,rmax,rmaxSD,K,KSD,TOF
439,ASIA_Tropical shrubland_Open forest evergreen broad leaf,0.11,0.1,123,13,0
440,ASIA_Tropical shrubland_Open forest deciduous broad leaf,0.32,0.29,44,13,0
441,ASIA_Tropical shrubland_Open forest undefined,0.18,0.16,79,21,0
442,ASIA_Tropical shrubland_Oceans seas,0,0,22,32,1
443,ASIA_Tropical desert_Shrubs,0,0,2,1,1
444,ASIA_Tropical desert_Herbaceous vegetation,0,0,2,1,1
445,ASIA_Tropical desert_Agriculture,0,0,3,2,1
446,ASIA_Tropical desert_Urban built up,0,0,3,2,1
447,ASIA_Tropical desert_Bare sparse vegetation,0,0,1,1,1
448,ASIA_Tropical desert_Permanent water bodies,0,0,2,1,1
449,ASIA_Tropical desert_Herbaceous wetland,0,0,3,2,1
450,ASIA_Tropical desert_Closed forest undefined,0,0,7,6,1
451,ASIA_Tropical desert_Open forest undefined,0,0,4,2,1
452,ASIA_Tropical desert_Oceans seas,0,0,1,1,1
453,ASIA_Tropical mountain system_No Data,0,0,219,41,1
454,ASIA_Tropical mountain system_Shrubs,0.1,0.11,118,25,0
455,ASIA_Tropical mountain system_Herbaceous vegetation,0,0,68,46,1
456,ASIA_Tropical mountain system_Agriculture,0,0,38,29,1
457,ASIA_Tropical mountain system_Urban built up,0,0,41,38,1
458,ASIA_Tropical mountain system_Bare sparse vegetation,0,0,37,40,1
459,ASIA_Tropical mountain system_Snow and ice,0,0,1,1,1
460,ASIA_Tropical mountain system_Permanent water bodies,0,0,50,43,1
461,ASIA_Tropical mountain system_Herbaceous wetland,0,0,103,67,1
462,ASIA_Tropical mountain system_Closed forest evergreen needle leaf,0.05,0.05,228,19,0
463,ASIA_Tropical mountain system_Closed forest evergreen broad leaf,0.04,0.05,273,24,0
464,ASIA_Tropical mountain system_Closed forest deciduous broad leaf,0.08,0.09,144,12,0
465,ASIA_Tropical mountain system_Closed forest mixed,0.11,0.12,101,16,0
466,ASIA_Tropical mountain system_Closed forest undefined,0.04,0.04,315,30,0
467,ASIA_Tropical mountain system_Open forest evergreen needle leaf,0.07,0.08,160,12,0
468,ASIA_Tropical mountain system_Open forest evergreen broad leaf,0.07,0.07,166,26,0
469,ASIA_Tropical mountain system_Open forest deciduous broad leaf,0.12,0.12,100,2,0
470,ASIA_Tropical mountain system_Open forest undefined,0.06,0.07,189,36,0
471,ASIA_Subtropical humid forest_Shrubs,0.14,0.05,69,14,0
472,ASIA_Subtropical humid forest_Herbaceous vegetation,0,0,17,24,1
473,ASIA_Subtropical humid forest_Agriculture,0,0,17,14,1
474,ASIA_Subtropical humid forest_Urban built up,0,0,10,11,1
475,ASIA_Subtropical humid forest_Bare sparse vegetation,0,0,4,8,1
476,ASIA_Subtropical humid forest_Permanent water bodies,0,0,15,17,1
477,ASIA_Subtropical humid forest_Herbaceous wetland,0,0,9,11,1
478,ASIA_Subtropical humid forest_Closed forest evergreen needle leaf,0.09,0.03,115,18,0
479,ASIA_Subtropical humid forest_Closed forest evergreen broad leaf,0.11,0.04,89,10,0
480,ASIA_Subtropical humid forest_Closed forest deciduous broad leaf,0.05,0.02,187,20,0
481,ASIA_Subtropical humid forest_Closed forest mixed,0.05,0.02,202,29,0
482,ASIA_Subtropical humid forest_Closed forest undefined,0.09,0.03,114,25,0
483,ASIA_Subtropical humid forest_Open forest evergreen needle leaf,0.07,0.02,152,19,0
484,ASIA_Subtropical humid forest_Open forest evergreen broad leaf,0.14,0.05,70,9,0
485,ASIA_Subtropical humid forest_Open forest deciduous broad leaf,0.05,0.02,203,9,0
486,ASIA_Subtropical humid forest_Open forest undefined,0.12,0.04,80,15,0
487,ASIA_Subtropical humid forest_Oceans seas,0,0,21,27,1
488,ASIA_Subtropical dry forest_Shrubs,0.46,0.41,57,16,0
489,ASIA_Subtropical dry forest_Herbaceous vegetation,0,0,5,10,1
490,ASIA_Subtropical dry forest_Agriculture,0,0,8,11,1
491,ASIA_Subtropical dry forest_Urban built up,0,0,7,10,1
492,ASIA_Subtropical dry forest_Bare sparse vegetation,0,0,4,10,1
493,ASIA_Subtropical dry forest_Permanent water bodies,0,0,14,21,1
494,ASIA_Subtropical dry forest_Herbaceous wetland,0,0,26,17,1
495,ASIA_Subtropical dry forest_Closed forest evergreen needle leaf,0.2,0.18,127,12,0
496,ASIA_Subtropical dry forest_Closed forest deciduous broad leaf,0.17,0.15,151,7,0
497,ASIA_Subtropical dry forest_Closed forest mixed,0.17,0.15,155,6,0
498,ASIA_Subtropical dry forest_Closed forest undefined,0.25,0.22,106,11,0
